-10_0_-10 -10_0_-5 -10_0_0 -10_0_10 -10_0_15 -10_0_20 -10_0_5 -10_10_-10 -10_10_-5 -10_10_0 -10_10_10 -10_10_15 -10_10_20 -10_10_5 -10_15_-10 -10_15_-5 -10_15_0 -10_15_10 -10_15_15 -10_15_20 -10_15_5 -10_20_-10 -10_20_-5 -10_20_0 -10_20_10 -10_20_15 -10_20_20 -10_20_5 -10_5_-10 -10_5_-5 -10_5_0 -10_5_10 -10_5_15 -10_5_20 -10_5_5 -5_0_-10 -5_0_-5 -5_0_0 -5_0_10 -5_0_15 -5_0_20 -5_0_5 -5_10_-10 -5_10_-5 -5_10_0 -5_10_10 -5_10_15 -5_10_20 -5_10_5 -5_15_-10 -5_15_-5 -5_15_0 -5_15_10 -5_15_15 -5_15_20 -5_15_5 -5_20_-10 -5_20_-5 -5_20_0 -5_20_10 -5_20_15 -5_20_20 -5_20_5 -5_5_-10 -5_5_-5 -5_5_0 -5_5_10 -5_5_15 -5_5_20 -5_5_5 0_0_-10 0_0_-5 0_0_10 0_0_15 0_0_20 0_0_5 0_10_-10 0_10_-5 0_10_0 0_10_10 0_10_15 0_10_20 0_10_5 0_15_-10 0_15_-5 0_15_0 0_15_10 0_15_15 0_15_20 0_15_5 0_20_-10 0_20_-5 0_20_0 0_20_10 0_20_15 0_20_20 0_20_5 0_5_-10 0_5_-5 0_5_0 0_5_10 0_5_15 0_5_20 0_5_5 10_0_-10 10_0_-5 10_0_0 10_0_10 10_0_15 10_0_20 10_0_5 10_10_-10 10_10_-5 10_10_0 10_10_10 10_10_15 10_10_20 10_10_5 10_15_-10 10_15_-5 10_15_0 10_15_10 10_15_15 10_15_20 10_15_5 10_20_-10 10_20_-5 10_20_0 10_20_10 10_20_15 10_20_20 10_20_5 10_5_-10 10_5_-5 10_5_0 10_5_10 10_5_15 10_5_20 10_5_5 15_0_-10 15_0_-5 15_0_0 15_0_10 15_0_15 15_0_20 15_0_5 15_10_-10 15_10_-5 15_10_0 15_10_10 15_10_15 15_10_20 15_10_5 15_15_-10 15_15_-5 15_15_0 15_15_10 15_15_15 15_15_20 15_15_5 15_20_-10 15_20_-5 15_20_0 15_20_10 15_20_15 15_20_20 15_20_5 15_5_-10 15_5_-5 15_5_0 15_5_10 15_5_15 15_5_20 15_5_5 20_0_-10 20_0_-5 20_0_0 20_0_10 20_0_15 20_0_20 20_0_5 20_10_-10 20_10_-5 20_10_0 20_10_10 20_10_15 20_10_20 20_10_5 20_15_-10 20_15_-5 20_15_0 20_15_10 20_15_15 20_15_20 20_15_5 20_20_-10 20_20_-5 20_20_0 20_20_10 20_20_15 20_20_20 20_20_5 20_5_-10 20_5_-5 20_5_0 20_5_10 20_5_15 20_5_20 20_5_5 5_0_-10 5_0_-5 5_0_0 5_0_10 5_0_15 5_0_20 5_0_5 5_10_-10 5_10_-5 5_10_0 5_10_10 5_10_15 5_10_20 5_10_5 5_15_-10 5_15_-5 5_15_0 5_15_10 5_15_15 5_15_20 5_15_5 5_20_-10 5_20_-5 5_20_0 5_20_10 5_20_15 5_20_20 5_20_5 5_5_-10 5_5_-5 5_5_0 5_5_10 5_5_15 5_5_20 5_5_5
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=-10_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=135.000000_rgb_0.png 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=-5_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=117.000000_rgb_1.png 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=0_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=90.000000_rgb_2.png 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=10_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=45.000000_rgb_3.png 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=15_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=34.000000_rgb_4.png 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=20_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=27.000000_rgb_5.png 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=0_lz=5_cx=10_cy=10_cz=-10_sunalt=0.000000_sunaz=63.000000_rgb_6.png 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=10_lz=-10_cx=10_cy=10_cz=-10_sunalt=49.000000_sunaz=135.000000_rgb_7.png 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=10_lz=-5_cx=10_cy=10_cz=-10_sunalt=71.000000_sunaz=117.000000_rgb_8.png 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scene1_CamXYZ_10_10_-10_lx=-10_ly=10_lz=0_cx=10_cy=10_cz=-10_sunalt=89.000000_sunaz=90.000000_rgb_9.png 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
